tblInstallBase_Ident Item Id,Ident Asset Num,Country,SEN Connectivity,Overall Status,Substatus,Last Pour,Equip Serial Num Upper Case
9372464,70040660,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 54: 07 PM,6201546PT178
9377705,70044880,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 55 PM,6201550PT205
9402250,70045217,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201605PT157
9372471,70040667,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 47 PM,6201547PT201
9375974,70040737,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 45 PM,6201550PT214
9403598,70048002,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 37 PM,6201606PT023
9402239,70045206,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 41 PM,6201605PT121
9376536,70035092,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201549PT091
9367273,70040579,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 18 PM,6201546PT176
9407354,70044839,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 53 PM,6201606PT016
9382020,70031600,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 01: 39: 54 PM,6201550PT382
9388968,70045042,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 42 PM,6201553PT030
9365961,70040555,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 29 PM,6201545PT185
9412797,70044808,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 35 PM,6201607PT257
9403921,70044861,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 04: 00 PM,6201605PT025
9387511,70044877,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 07 PM,6201552PT060
9388976,70045050,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 01: 28: 45 PM,6201602PT041
9388972,70045046,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 51 PM,6201553PT040
9374372,70030816,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 07: 18: 07 PM,6201548PT205
9387521,70044867,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 26 PM,6201553PT028
9365516,70040559,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 41 PM,6201545PT198
9394951,70044865,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-29-2016 06: 52: 53 PM,6201552PT124
9411623,70044827,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 24: 01 PM,6201606PT362
9414176,70044802,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 01: 51 PM,6201607PT024
9388975,70045049,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 46 PM,6201602PT039
9387513,70044875,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 16: 08 PM,6201552PT079
9412154,70044799,Canada,Not Connected,Require Missing information from MEM,Require KFID & UNDI,,6201607PT258
9365515,70040557,Canada,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6201545PT057
9403918,70044864,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 25 PM,6201604PT198
9414178,70044804,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 06: 09 PM,6201607PT197
9407355,70044840,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 30: 36 PM,6201606PT025
9388969,70045043,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 05 PM,6201553PT031
9414179,70044805,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201606PT368
9359635,70040520,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 37 PM,6201545PT041
9387514,70044874,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-06-2016 12: 17: 37 PM,6201552PT091
9374447,70031592,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 49 PM,6201548PT211
9387518,70044870,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 06: 09 PM,6201552PT128
9381878,70044927,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 44 PM,6201550PT236
9414177,70044803,Canada,Not Connected,Require Missing information from MEM,Require Modem serial #,,6201606PT359
9413811,70031603,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 05 PM,6201606PT361
9381874,70044923,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,01-19-2016 06: 24: 16 PM,6201550PT333
9414207,70031610,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201608PT007
9403929,70044853,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 52: 43 PM,6201605PT039
9359637,70040522,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 21 PM,6201545PT043
9414173,70044797,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 26 PM,6201607PT260
9382022,70031598,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,04-08-2016 03: 29: 49 PM,6201550PT389
9414204,70031607,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 28 PM,6201608PT041
9388979,70045053,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 07: 10: 48 PM,6201602PT309
9407357,70044842,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 03 PM,6201606PT027
9412015,70044795,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 12 PM,6201607PT259
9391438,70044788,Canada,Not Connected,Activation / Installation Issues,NUC Uninstalled,,6201552PT089
9366095,70040561,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 43 PM,6201546PT149
9368125,70040589,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 04 PM,6201547PT288
9368123,70040587,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-11-2016 11: 08: 26 AM,6201547PT256
9387515,70044873,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 20 PM,6201552PT093
9414201,70031604,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201608PT046
9407356,70044841,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 04: 48 PM,6201606PT026
9423337,70035919,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201607PT021
9414203,70031606,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201608PT042
9379187,70044917,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 14: 47 PM,6201550PT345
9388967,70045041,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 28 PM,6201553PT008
9407362,70044848,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 21 PM,6201606PT048
9373205,70041043,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 07: 09 PM,6201549PT086
9405338,70046575,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 12: 46: 23 PM,6201606PT005
9405340,70046577,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 35 PM,6201606PT029
9374779,70043513,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 58 PM,6201548PT024
9371806,70043499,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 20 PM,6201547PT287
9408033,70046646,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 41 PM,6201606PT334
9353495,70041704,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 33 PM,6201543PT052
9374782,70043516,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 31 PM,6201548PT045
9362971,70041788,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 56 PM,6201545PT034
9349581,70041675,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 14: 16 PM,6201542PT018
9415803,70049657,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 46 PM,6201608PT391
9415816,70050474,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 11: 32: 43 AM,6201609PT328
9360462,70041753,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 45 PM,6201543PT139
9360465,70041756,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 24 PM,6201543PT134
9385331,70043553,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,01-13-2016 08: 50: 14 PM,6201551PT305
9369872,70043489,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 22 PM,6201546PT144
9366420,70041846,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,04-27-2016 12: 36: 53 AM,6201545PT199
9398365,70046501,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 37 PM,6201604PT005
9353494,70041703,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 55 PM,6201543PT051
9362968,70041785,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 55 PM,6201545PT030
9399683,70046548,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 03 PM,6201605PT001
9377761,70043535,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 10: 09: 58 AM,6201549PT020
9360466,70041757,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 11 PM,6201543PT132
9399685,70046550,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 49 PM,6201605PT004
9389461,70043601,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 23 PM,6201552PT033
9408040,70046653,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 59 PM,6201606PT350
9412654,70049517,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 24 PM,6201608PT070
9353492,70041701,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 02: 50: 09 AM,6201543PT009
9399664,70046529,Canada,Transmitting Data,Connected & Reporting,No Action,06-11-2016 05: 18: 07 PM,6201604PT164
9390975,70043621,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 22 PM,6201602PT610
9405372,70046609,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 37 PM,6201606PT275
9385333,70043555,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 16: 30 AM,6201551PT307
9408042,70046655,Canada,Not Connected,Activation / Installation Issues,NUC Uninstalled,,6201606PT352
9405345,70046582,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 00: 32 PM,6201606PT034
9390963,70043609,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 36 PM,6201602PT538
9412657,70049520,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 58 PM,6201608PT118
9366421,70041847,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 15 PM,6201545PT202
9371813,70043506,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 47: 33 AM,6201547PT340
9349583,70041677,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 39 PM,6201542PT021
9390969,70043615,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 06 PM,6201602PT570
9408053,70046666,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 37 PM,6201607PT011
9408055,70046668,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 43 PM,6201607PT013
9398382,70046518,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 55 PM,6201604PT107
9405371,70046608,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 57 PM,6201606PT274
9399669,70046534,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 44: 46 PM,6201604PT173
9399670,70046535,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 49 PM,6201604PT176
9390966,70043612,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201602PT567
9389458,70043598,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 45 PM,6201552PT013
9399667,70046532,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 20 PM,6201604PT170
9389463,70043603,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 18 PM,6201552PT062
9399676,70046541,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 11: 19 PM,6201604PT226
9377752,70043526,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 28: 41 PM,6201548PT239
9398368,70046504,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 48 PM,6201604PT028
9399662,70046527,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 53 PM,6201604PT131
9408036,70046649,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 32 PM,6201606PT346
9366419,70041845,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 57 PM,6201545PT184
9398374,70046510,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 40 PM,6201604PT048
9360460,70041751,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 48: 50 PM,6201544PT100
9398367,70046503,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 28 PM,6201604PT016
9415811,70049665,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 08: 51 PM,6201609PT322
9360450,70041741,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 24 PM,6201544PT124
9345146,70041667,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 22: 42 PM,6201540PT100
9412673,70049536,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 39 PM,6201608PT160
9405350,70046587,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 43 PM,6201606PT054
9415812,70049666,Canada,Transmitting Data,Connected & Reporting,No Action,06-10-2016 05: 00: 19 PM,6201609PT323
9396086,70046104,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 21 PM,6201604PT052
9376802,70041957,Canada,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6201548PT224
9394202,70046470,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 51 PM,6201603PT025
9402175,70046407,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 05 PM,6201605PT061
9411205,70046310,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 28: 45 PM,6201608PT111
9412877,70048427,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 47: 54 PM,6201607PT242
9402181,70046401,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 43: 30 PM,6201605PT051
9412883,70048433,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 45 PM,6201607PT248
9400319,70046287,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 12: 31 PM,6201604PT146
9411203,70046308,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 05 PM,6201608PT045
9402172,70046410,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 10 PM,6201605PT058
9374785,70043519,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 38 PM,6201548PT189
9415810,70049664,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 52 PM,6201609PT321
9387359,70042181,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 59: 42 PM,6201552PT074
9411225,70048387,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 56: 58 PM,6201608PT031
9412872,70048422,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 29 PM,6201607PT213
9408057,70046670,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 02: 40 PM,6201607PT017
9406165,70046343,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 38 PM,6201606PT292
9375867,70043868,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 32: 54 PM,6201549PT011
9370298,70041635,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 12 PM,6201547PT252
9371722,70042073,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201547PT329
9380683,70043836,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 19: 50 PM,6201551PT250
9411214,70046319,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 39: 36 PM,6201608PT108
9404938,70046778,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 43 PM,6201605PT024
9363321,70041614,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 21 PM,6201545PT015
9406158,70046336,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 09 PM,6201606PT294
9377567,70041946,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 07: 53: 53 PM,6201549PT016
9408734,70046805,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201606PT358
9412873,70048423,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 56: 36 PM,6201607PT243
9371131,70043727,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 19 PM,6201548PT007
9412874,70048424,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 17 PM,6201607PT246
9370297,70041634,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 26 PM,6201547PT325
9396081,70046099,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 59 PM,6201603PT253
9402660,70046757,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 12 PM,6201605PT062
9396065,70046083,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 38 PM,6201604PT035
9361728,70041925,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 10 PM,6201544PT134
9396071,70046089,Canada,Not Connected,Activation / Installation Issues,NUC Uninstalled,,6201604PT033
9386246,70043813,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 18 PM,6201552PT054
9404307,70046773,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 40 PM,6201606PT276
9404933,70046779,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 30 PM,6201605PT053
9396075,70046093,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 52 PM,6201604PT101
9391878,70046125,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 51 PM,6201553PT003
9402195,70046387,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201605PT060
9386248,70043815,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 05: 55 PM,6201552PT051
9402174,70046408,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 56 PM,6201605PT048
9370300,70041637,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 19 PM,6201547PT253
9358914,70041606,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 45 PM,6201544PT132
9363323,70041616,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 03: 32 PM,6201545PT013
9394193,70046461,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 58 PM,6201603PT288
9408050,70046663,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 44 PM,6201607PT007
9411220,70048382,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 26 PM,6201608PT033
9412400,70049718,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 51: 37 PM,6201608PT126
9405341,70046578,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 28 PM,6201606PT030
9384169,70042155,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 29: 05 PM,6201550PT398
9405346,70046583,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 23 PM,6201606PT035
9404310,70046769,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 56 PM,6201606PT280
9377757,70043531,Canada,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6201549PT014
9384177,70042190,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 27 PM,6201550PT275
9393394,70043758,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 06: 14 PM,6201602PT526
9379308,70043853,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 07 PM,6201550PT242
9412399,70049717,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 27 PM,6201608PT153
9405342,70046579,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 59 PM,6201606PT031
9402192,70046390,Canada,Not Connected,SEN - Activation In Progress,No Action,,6201605PT096
9405356,70046593,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 05: 20 PM,6201606PT060
9353867,70042053,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 01: 27 PM,6201543PT060
9385394,70043548,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 17 PM,6201551PT253
9412670,70049533,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 59 PM,6201608PT148
9379297,70043855,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 59 PM,6201551PT053
9402182,70046400,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 15 PM,6201605PT057
9412401,70049719,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 45 PM,6201608PT133
9412675,70049538,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-07-2016 11: 42: 09 PM,6201608PT162
9408733,70046804,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 18 PM,6201607PT002
9406146,70046324,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 50 PM,6201606PT316
9412664,70049527,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 47 PM,6201608PT132
9380688,70043841,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 07: 28 PM,6201551PT083
9374781,70043515,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 08 PM,6201548PT042
9377754,70043528,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 03: 34 PM,6201549PT006
9386251,70043818,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 31 PM,6201552PT081
9402188,70046394,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 12 PM,6201605PT095
9368129,70042078,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,12-18-2015 02: 43: 15 PM,6201547PT029
9406153,70046331,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 30 PM,6201606PT321
9402171,70046411,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 00: 59 PM,6201605PT046
9404304,70046764,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 55 PM,6201606PT070
9394205,70046473,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 11 PM,6201603PT056
9406166,70046344,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 28: 33 PM,6201606PT323
9377572,70041951,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 34 PM,6201549PT021
9360458,70041749,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 14 PM,6201544PT102
9411209,70046314,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 49 PM,6201608PT061
9368135,70042084,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 22: 02 PM,6201547PT214
9415807,70049661,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 01: 56: 54 AM,6201608PT403
9379417,70042239,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 07: 54 PM,6201551PT297
9411211,70046316,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 03: 06 PM,6201608PT052
9402186,70046396,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 23 PM,6201605PT049
9390973,70043619,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 36 PM,6201602PT577
9398370,70046506,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 47 PM,6201604PT031
9376805,70041961,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 24 PM,6201548PT212
9389460,70043600,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 00 PM,6201552PT030
9412661,70049524,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 07 PM,6201608PT123
9405362,70046599,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 55 PM,6201606PT066
9415794,70049648,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 22 PM,6201608PT374
9402661,70046758,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 33 PM,6201605PT067
9411207,70046312,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 44 PM,6201608PT036
9405336,70046573,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 52: 37 PM,6201605PT209
9371129,70041643,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 35 PM,6201547PT354
9394197,70046465,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 03 PM,6201603PT059
9394199,70046467,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 02: 09: 50 PM,6201603PT245
9399665,70046530,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 11: 30 PM,6201604PT166
9398323,70046735,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 59 PM,6201604PT132
9405339,70046576,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 27: 03 PM,6201606PT024
9405343,70046580,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 41 PM,6201606PT032
9355862,70042062,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 59: 00 PM,6201544PT001
9411221,70048383,Canada,Not Connected,Activation / Installation Issues,NUC Uninstalled,,6201608PT020
